ChanceOfAdmit,Predicted,Delta
0.93,0.9109164282472098,0.019083571752790296
0.84,0.7975566091404293,0.04244339085957072
0.39,0.5890775866338561,0.1990775866338561
0.77,0.71286244512665,0.05713755487335004
0.74,0.8168649242310944,0.07686492423109437
0.89,0.8619427070898923,0.028057292910107723
0.47,0.490894044095915,0.020894044095915054
0.57,0.6564608128920758,0.08646081289207586
0.68,0.8222678388704446,0.14226783887044459
0.82,0.8118542692156842,0.008145730784315797
0.45,0.7281409720473151,0.2781409720473151
0.77,0.7307257279342713,0.039274272065728755
0.61,0.6680368654381149,0.058036865438114926
0.94,0.934961491977804,0.005038508022195964
0.89,0.822184385984058,0.06781561401594205
0.49,0.5216584637807188,0.03165846378071879
0.87,0.8411652231819354,0.028834776818064567
0.65,0.6065683035760236,0.043431696423976374
0.54,0.5457812429136845,0.005781242913684426
0.57,0.5881181213851276,0.018118121385127695
0.67,0.6770582574499999,0.007058257449999883
0.54,0.5685637677237521,0.02856376772375202
0.68,0.7278115275942926,0.047811527594292524
0.79,0.799148765275412,0.009148765275411974
0.74,0.7851702406241589,0.045170240624158864
0.68,0.6125378347062409,0.06746216529375915
0.93,0.9477940356724855,0.017794035672485498
0.82,0.8487984040128296,0.028798404012829626
0.64,0.6386897620223881,0.0013102379776118722
0.73,0.750942897196365,0.020942897196364996
0.59,0.5701795060496972,0.01982049395030272
0.72,0.733852307424107,0.013852307424107035
0.53,0.5596679230685007,0.029667923068500635
0.89,0.8618150262209111,0.028184973779088907
0.72,0.6699264725095195,0.05007352749048044
0.71,0.7438164299751794,0.03381642997517942
0.61,0.5635797402972392,0.04642025970276076
0.94,0.9551772438443316,0.015177243844331612
0.68,0.6565543320499568,0.023445667950043214
0.56,0.7182011366238932,0.15820113662389312
0.96,0.9642251780078132,0.004225178007813191
0.44,0.5872125102079848,0.14721251020798481
0.7,0.6771360104473825,0.02286398955261748
0.89,0.8609163595669047,0.029083640433095304
0.9,0.936101608932645,0.036101608932645024
0.64,0.5861356268755783,0.053864373124421716
0.92,0.9547515048614645,0.0347515048614645
0.84,0.8418470620008911,0.001847062000891131
0.76,0.8003342680756941,0.04033426807569407
0.94,0.9251479655111586,0.014852034488841315
0.93,0.886804607906544,0.04319539209345602
0.68,0.5776797847033253,0.10232021529667479
0.77,0.712430189273717,0.05756981072628298
0.54,0.543237760285466,0.0032377602854659626
0.94,0.952312630271344,0.012312630271344105
0.64,0.6138601450717952,0.02613985492820481
0.96,0.9484335207112974,0.01156647928870258
0.63,0.744254662999608,0.11425466299960796
0.69,0.6705663772977383,0.019433622702261677
0.44,0.517405170673602,0.07740517067360203
0.68,0.6340412964930433,0.045958703506956744
0.7,0.6875656880980643,0.012434311901935668
0.62,0.6076322482661053,0.012367751733894705
0.71,0.6094928590162422,0.10050714098375779
0.46,0.45706247463099137,0.0029375253690086534
0.48,0.6087289068495577,0.12872890684955773
0.89,0.8676352464076194,0.02236475359238066
0.86,0.898083288921318,0.03808328892131796
0.7,0.665576833529552,0.03442316647044796
0.71,0.7100749470943764,7.494709437638747e-05
0.64,0.6286497737433508,0.011350226256649165
0.79,0.7903278929737925,0.0003278929737924319
0.7,0.6935510519147822,0.006448948085217787
0.58,0.5804357780480808,0.0004357780480808149
0.58,0.5630040549932241,0.016995945006775814
0.62,0.6573750650567967,0.037375065056796664
0.83,0.848987574477413,0.01898757447741306
0.78,0.8661226554075755,0.08612265540757547
0.59,0.5528321039824725,0.03716789601752746
0.54,0.6395129777070327,0.09951297770703271
0.8,0.7712366660541025,0.028763333945897585
0.92,0.8495289657432915,0.07047103425670853
0.65,0.6287008492502147,0.02129915074978528
0.86,0.848306171595201,0.011693828404798934
0.73,0.7417386354615749,0.011738635461574942
0.64,0.6823283925993969,0.04232839259939691
0.71,0.6167543414950704,0.09324565850492961
0.72,0.7497780820131732,0.029778082013173224
0.78,0.7919658496546585,0.011965849654658522
0.66,0.6693282506743641,0.009328250674364047
0.73,0.7465579423003544,0.016557942300354456
0.9,0.9060716894849005,0.006071689484900444
0.91,0.9173300268847377,0.007330026884737717
0.67,0.6587631416592223,0.0112368583407777
0.73,0.7818725162571311,0.051872516257131074
0.42,0.45115880155789634,0.031158801557896354
0.72,0.6964709866687301,0.023529013331269888
0.72,0.7925955924075165,0.07259559240751656
0.67,0.7408029369771671,0.07080293697716711
0.54,0.6582740720550536,0.11827407205505358
