ChanceOfAdmit,Predicted,Delta
0.93,1.245020909995659,0.315020909995659
0.84,1.0922911938604347,0.25229119386043475
0.39,0.8474777720536999,0.4574777720536999
0.77,0.9886186086424777,0.21861860864247773
0.74,1.1159709207578667,0.37597092075786676
0.89,1.1749614539542028,0.2849614539542028
0.47,0.7638038805075186,0.2938038805075186
0.57,0.9244652412612321,0.35446524126123213
0.68,1.1308399108557143,0.4508399108557143
0.82,1.1060738926330742,0.28607389263307426
0.45,1.0027092741604045,0.5527092741604045
0.77,1.0089301643864006,0.23893016438640058
0.61,0.9275480904025609,0.31754809040256093
0.94,1.2739628696333734,0.3339628696333734
0.89,1.1279222841351682,0.23792228413516814
0.49,0.7930343884997444,0.3030343884997444
0.87,1.1414257887573833,0.2714257887573833
0.65,0.8773828242549678,0.2273828242549678
0.54,0.8138027781226477,0.27380277812264764
0.57,0.8504048009828022,0.2804048009828023
0.67,0.9477772382136337,0.27777723821363365
0.54,0.8302055437224299,0.2902055437224299
0.68,1.0085559223957208,0.32855592239572073
0.79,1.091134264569014,0.30113426456901404
0.74,1.0706044076187617,0.33060440761876175
0.68,0.8781965991188989,0.19819659911889886
0.93,1.2937745535399245,0.3637745535399245
0.82,1.1555977976716563,0.3355977976716563
0.64,0.9046350444796245,0.2646350444796245
0.73,1.0293747090510135,0.2993747090510135
0.59,0.8323374865964165,0.24233748659641652
0.72,1.0122741994396858,0.2922741994396858
0.53,0.8217571811657249,0.2917571811657249
0.89,1.175806281703185,0.2858062817031849
0.72,0.9330827221113578,0.21308272211135781
0.71,1.022137261106282,0.31213726110628204
0.61,0.8364482635031004,0.22644826350310043
0.94,1.3068762139498353,0.3668762139498354
0.68,0.9226425987779373,0.24264259877793726
0.56,0.9940157187162236,0.4340157187162236
0.96,1.3293144502108218,0.3693144502108219
0.44,0.8547004026504454,0.41470040265044544
0.7,0.952474934279874,0.252474934279874
0.89,1.1705293435137605,0.28052934351376047
0.9,1.2801715342220097,0.38017153422200967
0.64,0.8564695308309359,0.2164695308309359
0.92,1.3096795180379657,0.38967951803796563
0.84,1.1453460370824173,0.30534603708241737
0.76,1.0908184853951202,0.33081848539512015
0.94,1.2619312058016656,0.3219312058016657
0.93,1.2117408304315478,0.28174083043154774
0.68,0.8440833227231798,0.16408332272317971
0.77,0.9839236630995605,0.21392366309956046
0.54,0.8114358784625205,0.2714358784625205
0.94,1.3002899636535934,0.36028996365359345
0.64,0.8696550278381147,0.22965502783811464
0.96,1.3046804103615246,0.34468041036152464
0.63,1.0236740538696452,0.39367405386964516
0.69,0.9439209842004544,0.2539209842004545
0.44,0.7851381074463676,0.3451381074463676
0.68,0.9069051498788101,0.22690514987881005
0.7,0.963931279476782,0.2639312794767821
0.62,0.8767658103858972,0.2567658103858972
0.71,0.8630478282814776,0.15304782828147767
0.46,0.7350103104928113,0.27501031049281127
0.48,0.8651118181642589,0.3851118181642589
0.89,1.1830114363814952,0.2930114363814952
0.86,1.2223354430989968,0.3623354430989968
0.7,0.9363456637265779,0.23634566372657795
0.71,0.9872696551639437,0.27726965516394375
0.64,0.897543830142576,0.257543830142576
0.79,1.0789328000646403,0.2889328000646403
0.7,0.9731324304716612,0.27313243047166125
0.58,0.8398945599101656,0.25989455991016563
0.58,0.8364913275994832,0.25649132759948323
0.62,0.9276440217972964,0.30764402179729644
0.83,1.155283302115203,0.32528330211520295
0.78,1.1763328377213271,0.3963328377213271
0.59,0.816253421077985,0.22625342107798507
0.54,0.909172496452541,0.3691724964525409
0.8,1.0596809742080144,0.2596809742080144
0.92,1.15675176471531,0.23675176471531
0.65,0.8882695781099814,0.2382695781099814
0.86,1.1586466626223204,0.2986466626223204
0.73,1.0188316135312294,0.28883161353122944
0.64,0.9453932859627885,0.3053932859627885
0.71,0.8810301135714564,0.17103011357145648
0.72,1.0208281823859875,0.3008281823859875
0.78,1.08624921249663,0.30624921249663006
0.66,0.9445636119126382,0.2845636119126381
0.73,1.029659287418085,0.299659287418085
0.9,1.2393028153896424,0.33930281538964235
0.91,1.2446342995707098,0.3346342995707098
0.67,0.9254222339480926,0.2554222339480926
0.73,1.0716310016980664,0.34163100169806637
0.42,0.728648899994915,0.308648899994915
0.72,0.965296268818809,0.24529626881880906
0.72,1.0808467448386867,0.36084674483868673
0.67,1.0242091717555037,0.3542091717555037
0.54,0.9232642366586581,0.38326423665865805
