ChanceOfAdmit,Predicted,Delta
0.93,0.95,0.02
0.84,0.81,0.03
0.39,0.6,0.21
0.77,0.69,0.08
0.74,0.77,0.03
0.89,0.87,0.02
0.47,0.43,0.04
0.57,0.62,0.05
0.68,0.86,0.18
0.82,0.78,0.04
0.45,0.72,0.27
0.77,0.71,0.06
0.61,0.64,0.03
0.94,0.92,0.02
0.89,0.85,0.04
0.49,0.55,0.06
0.87,0.83,0.04
0.65,0.61,0.04
0.54,0.55,0.01
0.57,0.51,0.06
0.67,0.72,0.05
0.54,0.52,0.02
0.68,0.71,0.03
0.79,0.76,0.04
0.74,0.76,0.02
0.68,0.64,0.04
0.93,0.93,0.0
0.82,0.84,0.02
0.64,0.69,0.05
0.73,0.74,0.01
0.59,0.57,0.02
0.72,0.76,0.04
0.53,0.56,0.03
0.89,0.88,0.01
0.72,0.67,0.05
0.71,0.75,0.04
0.61,0.55,0.06
0.94,0.94,0.0
0.68,0.63,0.05
0.56,0.68,0.12
0.96,0.96,0.0
0.44,0.58,0.14
0.7,0.7,0.0
0.89,0.82,0.07
0.9,0.94,0.04
0.64,0.62,0.02
0.92,0.94,0.02
0.84,0.82,0.02
0.76,0.77,0.01
0.94,0.93,0.01
0.93,0.89,0.04
0.68,0.52,0.16
0.77,0.65,0.12
0.54,0.51,0.03
0.94,0.95,0.01
0.64,0.58,0.06
0.96,0.96,0.0
0.63,0.75,0.12
0.69,0.64,0.05
0.44,0.42,0.02
0.68,0.63,0.05
0.7,0.7,0.0
0.62,0.62,0.0
0.71,0.51,0.2
0.46,0.45,0.01
0.48,0.58,0.1
0.89,0.89,0.0
0.86,0.91,0.05
0.7,0.71,0.01
0.71,0.68,0.03
0.64,0.64,0.0
0.79,0.77,0.02
0.7,0.71,0.01
0.58,0.62,0.04
0.58,0.53,0.05
0.62,0.58,0.04
0.83,0.82,0.01
0.78,0.87,0.09
0.59,0.53,0.06
0.54,0.67,0.13
0.8,0.66,0.14
0.92,0.88,0.04
0.65,0.65,0.0
0.86,0.85,0.01
0.73,0.73,0.0
0.64,0.67,0.03
0.71,0.61,0.1
0.72,0.73,0.01
0.78,0.71,0.07
0.66,0.7,0.04
0.73,0.73,0.0
0.9,0.93,0.03
0.91,0.91,0.0
0.67,0.69,0.02
0.73,0.77,0.04
0.42,0.47,0.05
0.72,0.69,0.03
0.72,0.74,0.02
0.67,0.74,0.07
0.54,0.68,0.14
