ChanceOfAdmit,Predicted,Delta
0.93,0.8969130473407194,0.03308695265928063
0.84,0.7585417705974882,0.0814582294025118
0.39,0.6326936397152658,0.2426936397152658
0.77,0.6945572554341757,0.07544274456582434
0.74,0.8024497573777829,0.06244975737778291
0.89,0.851816640898992,0.03818335910100801
0.47,0.4626400580494585,0.00735994195054146
0.57,0.6227963348082675,0.05279633480826751
0.68,0.7714759787166741,0.09147597871667401
0.82,0.7980586224997825,0.021941377500217407
0.45,0.7445233185756375,0.29452331857563746
0.77,0.7204623253072393,0.049537674692760714
0.61,0.701344168702426,0.09134416870242601
0.94,0.9483744242621661,0.008374424262166169
0.89,0.7875274466170237,0.10247255338297634
0.49,0.4909076346024599,0.0009076346024599058
0.87,0.8525185708707772,0.017481429129222792
0.65,0.5605845410166133,0.08941545898338676
0.54,0.522714514502908,0.01728548549709208
0.57,0.5705478401847359,0.0005478401847359704
0.67,0.658277417358637,0.011722582641363055
0.54,0.5621587278773554,0.0221587278773554
0.68,0.6942081742719441,0.014208174271944096
0.79,0.8018717170609881,0.011871717060988107
0.74,0.79314064657712,0.05314064657712003
0.68,0.5768255689779367,0.10317443102206336
0.93,0.9377885710556035,0.007788571055603488
0.82,0.8438213191149226,0.02382131911492269
0.64,0.6454254126586063,0.005425412658606299
0.73,0.732448793881824,0.002448793881824063
0.59,0.5677894293574428,0.02221057064255716
0.72,0.7273594827886005,0.0073594827886005465
0.53,0.5698801670396616,0.039880167039661574
0.89,0.8375019354084063,0.052498064591593674
0.72,0.687297366846872,0.032702633153127936
0.71,0.7378813491976026,0.027881349197602656
0.61,0.5276711312490194,0.08232886875098056
0.94,0.9441223344879672,0.004122334487967283
0.68,0.6318980768148119,0.048101923185188133
0.56,0.7047682958647408,0.14476829586474071
0.96,0.9525489381021952,0.007451061897804756
0.44,0.5590222873671555,0.11902228736715553
0.7,0.6455569288735474,0.054443071126452525
0.89,0.8578863229115399,0.032113677088460135
0.9,0.9340663444223263,0.034066344422326256
0.64,0.5511154810281198,0.08888451897188021
0.92,0.947381932060384,0.027381932060383973
0.84,0.8399378279105609,6.217208943903874e-05
0.76,0.8071696775362174,0.04716967753621737
0.94,0.9105323637764018,0.02946763622359816
0.93,0.8497646501287588,0.08023534987124126
0.68,0.5637220185431651,0.11627798145683499
0.77,0.6900001425264044,0.07999985747359561
0.54,0.5450801567033219,0.0050801567033218475
0.94,0.9556959389786059,0.015695938978605994
0.64,0.6738276043989067,0.03382760439890664
0.96,0.9286182423729272,0.03138175762707274
0.63,0.7409362965942785,0.1109362965942785
0.69,0.624754646646779,0.0652453533532209
0.44,0.4967609131579005,0.056760913157900494
0.68,0.5708211035631567,0.10917889643684331
0.7,0.6508643666955831,0.04913563330441684
0.62,0.5844898270257994,0.03551017297420056
0.71,0.6363725120664081,0.07362748793359186
0.46,0.44044354261716645,0.01955645738283357
0.48,0.6470407183285074,0.16704071832850742
0.89,0.8474638479001055,0.042536152099894475
0.86,0.8902482514946706,0.030248251494670586
0.7,0.6500086151300968,0.04999138486990318
0.71,0.6979718969598028,0.012028103040197191
0.64,0.5982301168463233,0.04176988315367669
0.79,0.7928368366017668,0.0028368366017668123
0.7,0.6781911717425588,0.021808828257441126
0.58,0.6076184107964764,0.027618410796476422
0.58,0.5233800427014184,0.0566199572985816
0.62,0.6463337326365366,0.0263337326365366
0.83,0.8578155148237991,0.02781551482379918
0.78,0.8653558655781057,0.0853558655781057
0.59,0.5642487939847536,0.025751206015246386
0.54,0.6166025382235167,0.0766025382235167
0.8,0.7719043185993173,0.028095681400682748
0.92,0.8241357627598442,0.0958642372401558
0.65,0.6389814362523638,0.011018563747636212
0.86,0.8234787626669728,0.036521237333027146
0.73,0.7520092798260776,0.022009279826077588
0.64,0.7153352573187539,0.0753352573187539
0.71,0.6002426503156526,0.10975734968434736
0.72,0.7734040772082529,0.05340407720825291
0.78,0.7468033782648846,0.033196621735115395
0.66,0.640219810041748,0.019780189958252037
0.73,0.726356201412893,0.00364379858710695
0.9,0.8793889095748182,0.020611090425181833
0.91,0.9413368461249774,0.031336846124977336
0.67,0.6640682450176048,0.0059317549823952875
0.73,0.7670230591037823,0.03702305910378234
0.42,0.44653309802581687,0.02653309802581688
0.72,0.7085670042883856,0.01143299571161438
0.72,0.8096663704676996,0.08966637046769965
0.67,0.723470504325697,0.053470504325697
0.54,0.6680179344632879,0.1280179344632879
