ChanceOfAdmit,Predicted,Delta
0.93,0.8969130473407194,0.03308695265928063
0.84,0.7585417705974882,0.0814582294025118
0.39,0.6326936397152654,-0.24269363971526536
0.77,0.6945572554341757,0.07544274456582434
0.74,0.802449757377782,-0.06244975737778202
0.89,0.8518166408989916,0.03818335910100845
0.47,0.4626400580494585,0.00735994195054146
0.57,0.622796334808267,-0.052796334808267065
0.68,0.7714759787166732,-0.09147597871667312
0.82,0.7980586224997821,0.02194137750021785
0.45,0.7445233185756366,-0.2945233185756366
0.77,0.7204623253072384,0.0495376746927616
0.61,0.701344168702426,-0.09134416870242601
0.94,0.9483744242621652,-0.008374424262165281
0.89,0.7875274466170228,0.10247255338297723
0.49,0.4909076346024599,-0.0009076346024599058
0.87,0.8525185708707772,0.017481429129222792
0.65,0.5605845410166128,0.08941545898338721
0.54,0.5227145145029075,0.017285485497092523
0.57,0.5705478401847355,-0.0005478401847355263
0.67,0.6582774173586365,0.0117225826413635
0.54,0.562158727877355,-0.022158727877354956
0.68,0.6942081742719441,-0.014208174271944096
0.79,0.8018717170609877,-0.011871717060987663
0.74,0.7931406465771196,-0.05314064657711959
0.68,0.5768255689779367,0.10317443102206336
0.93,0.9377885710556035,-0.007788571055603488
0.82,0.8438213191149226,-0.02382131911492269
0.64,0.6454254126586059,-0.005425412658605855
0.73,0.732448793881824,-0.002448793881824063
0.59,0.5677894293574424,0.022210570642557603
0.72,0.7273594827886001,-0.007359482788600102
0.53,0.5698801670396612,-0.03988016703966113
0.89,0.8375019354084063,0.052498064591593674
0.72,0.6872973668468716,0.03270263315312838
0.71,0.7378813491976022,-0.027881349197602212
0.61,0.527671131249019,0.082328868750981
0.94,0.9441223344879672,-0.004122334487967283
0.68,0.631898076814811,0.04810192318518902
0.56,0.7047682958647403,-0.14476829586474027
0.96,0.9525489381021943,0.007451061897805644
0.44,0.5590222873671551,-0.11902228736715509
0.7,0.6455569288735474,0.054443071126452525
0.89,0.8578863229115399,0.032113677088460135
0.9,0.9340663444223258,-0.03406634442232581
0.64,0.5511154810281198,0.08888451897188021
0.92,0.947381932060384,-0.027381932060383973
0.84,0.8399378279105605,6.217208943948282e-05
0.76,0.8071696775362174,-0.04716967753621737
0.94,0.9105323637764018,0.02946763622359816
0.93,0.8497646501287579,0.08023534987124215
0.68,0.5637220185431651,0.11627798145683499
0.77,0.690000142526404,0.07999985747359606
0.54,0.5450801567033214,-0.0050801567033214035
0.94,0.9556959389786055,-0.01569593897860555
0.64,0.6738276043989067,-0.03382760439890664
0.96,0.9286182423729268,0.03138175762707318
0.63,0.7409362965942781,-0.11093629659427806
0.69,0.6247546466467786,0.06524535335322135
0.44,0.4967609131579005,-0.056760913157900494
0.68,0.5708211035631559,0.1091788964368442
0.7,0.6508643666955831,0.04913563330441684
0.62,0.584489827025799,0.035510172974201004
0.71,0.6363725120664077,0.0736274879335923
0.46,0.440443542617166,0.019556457382834014
0.48,0.6470407183285074,-0.16704071832850742
0.89,0.8474638479001055,0.042536152099894475
0.86,0.8902482514946706,-0.030248251494670586
0.7,0.6500086151300959,0.049991384869904065
0.71,0.6979718969598023,0.012028103040197635
0.64,0.5982301168463229,0.041769883153677134
0.79,0.7928368366017664,-0.002836836601766368
0.7,0.6781911717425588,0.021808828257441126
0.58,0.6076184107964759,-0.02761841079647598
0.58,0.5233800427014184,0.0566199572985816
0.62,0.6463337326365366,-0.0263337326365366
0.83,0.8578155148237991,-0.02781551482379918
0.78,0.8653558655781053,-0.08535586557810526
0.59,0.5642487939847531,0.02575120601524683
0.54,0.6166025382235163,-0.07660253822351626
0.8,0.7719043185993173,0.028095681400682748
0.92,0.8241357627598438,0.09586423724015625
0.65,0.6389814362523629,0.0110185637476371
0.86,0.8234787626669724,0.03652123733302759
0.73,0.7520092798260771,-0.022009279826077144
0.64,0.7153352573187535,-0.07533525731875346
0.71,0.6002426503156517,0.10975734968434825
0.72,0.773404077208252,-0.05340407720825202
0.78,0.7468033782648846,0.033196621735115395
0.66,0.640219810041748,0.019780189958252037
0.73,0.7263562014128926,0.003643798587107394
0.9,0.8793889095748182,0.020611090425181833
0.91,0.9413368461249769,-0.03133684612497689
0.67,0.6640682450176043,0.005931754982395732
0.73,0.7670230591037814,-0.03702305910378145
0.42,0.4465330980258164,-0.026533098025816437
0.72,0.7085670042883851,0.011432995711614824
0.72,0.8096663704676996,-0.08966637046769965
0.67,0.7234705043256966,-0.053470504325696555
0.54,0.668017934463287,-0.12801793446328702
