ChanceOfAdmit,Predicted,Delta
0.93,0.92120296,0.008797042369842578
0.84,0.7660633,0.07393672704696652
0.39,0.5972381,0.20723812341690062
0.77,0.6942748,0.07572521686553957
0.74,0.79332113,0.05332113265991212
0.89,0.87191784,0.018082156181335463
0.47,0.46536794,0.0046320569515228005
0.57,0.64127123,0.07127123355865483
0.68,0.83650464,0.1565046381950378
0.82,0.7799443,0.04005569934844966
0.45,0.69823074,0.24823074340820311
0.77,0.7040364,0.06596358537673952
0.61,0.7051515,0.09515149831771852
0.94,0.92704844,0.012951555252075142
0.89,0.8279717,0.06202830314636232
0.49,0.53371733,0.043717334270477304
0.87,0.8176182,0.05238180875778198
0.65,0.60261214,0.04738786220550539
0.54,0.55019546,0.010195455551147425
0.57,0.5616527,0.008347280025482129
0.67,0.6490752,0.020924789905548136
0.54,0.5454329,0.005432925224304164
0.68,0.72847766,0.04847765684127803
0.79,0.7566966,0.0333034181594849
0.74,0.7562143,0.01621432065963746
0.68,0.6094132,0.07058679342269902
0.93,0.9227709,0.007229082584381152
0.82,0.84349924,0.02349924325942998
0.64,0.6623406,0.022340581417083727
0.73,0.7420092,0.012009222507476824
0.59,0.5509777,0.03902229309082028
0.72,0.7066541,0.013345928192138645
0.53,0.59914225,0.06914225339889524
0.89,0.8764553,0.013544692993164076
0.72,0.67545736,0.044542641639709446
0.71,0.753371,0.04337100028991703
0.61,0.582098,0.02790199279785155
0.94,0.92870605,0.011293950080871529
0.68,0.61916167,0.060838334560394336
0.56,0.6942664,0.13426637887954707
0.96,0.9344483,0.02555169820785519
0.44,0.5479461,0.10794609546661377
0.7,0.6966847,0.0033152818679809126
0.89,0.8510442,0.03895582199096681
0.9,0.9333105,0.03331050872802732
0.64,0.5934984,0.04650159120559694
0.92,0.93441135,0.014411346912383993
0.84,0.81064224,0.029357757568359344
0.76,0.772625,0.012625029087066642
0.94,0.9103742,0.029625775814056343
0.93,0.89677703,0.03322296619415288
0.68,0.5416619,0.1383380818367005
0.77,0.7163311,0.05366887569427492
0.54,0.4781368,0.06186319231987003
0.94,0.93383986,0.006160142421722359
0.64,0.68831223,0.048312232494354235
0.96,0.9342812,0.025718829631805384
0.63,0.71064115,0.08064114570617675
0.69,0.65665936,0.033340635299682564
0.44,0.45630515,0.01630514621734619
0.68,0.6268539,0.053146116733551074
0.7,0.697874,0.0021259903907775435
0.62,0.6248389,0.004838888645172124
0.71,0.60118246,0.10881753921508786
0.46,0.45645946,0.0035405373573303422
0.48,0.6179951,0.13799508333206179
0.89,0.8809187,0.0090813183784485
0.86,0.897535,0.037535026073455824
0.7,0.67115587,0.028844130039215043
0.71,0.7123156,0.002315618991851842
0.64,0.61241144,0.02758856058120729
0.79,0.75375706,0.03624294042587284
0.7,0.7076004,0.0076004147529602495
0.58,0.6105875,0.030587477684021036
0.58,0.58195436,0.001954360008239786
0.62,0.64816046,0.02816045761108399
0.83,0.8371417,0.007141692638397257
0.78,0.8675148,0.08751478910446164
0.59,0.57615846,0.013841536045074432
0.54,0.6819296,0.14192958831787106
0.8,0.69215506,0.10784493684768681
0.92,0.869019,0.05098102807998661
0.65,0.6448641,0.005135917663574241
0.86,0.8511922,0.008807823657989489
0.73,0.7224445,0.007555525302886945
0.64,0.6819045,0.04190449476242064
0.71,0.6019971,0.10800292253494259
0.72,0.74527323,0.025273232460022
0.78,0.77075475,0.009245245456695583
0.66,0.68168586,0.02168586492538449
0.73,0.74901557,0.019015569686889666
0.9,0.8996301,0.0003698706626892312
0.91,0.9187556,0.0087555909156799
0.67,0.68286365,0.0128636527061462
0.73,0.7681295,0.038129527568817156
0.42,0.45908773,0.03908772945404054
0.72,0.69213974,0.027860255241394016
0.72,0.7378199,0.017819910049438503
0.67,0.73666555,0.06666554689407345
0.54,0.6858548,0.14585479259490963
